customer_id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,CLV,avg_review_sentiment,min_review_sentiment,max_review_sentiment,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,AvgMonthlySpend,TotalAddons,TenureGroup_13-24m,TenureGroup_25-48m,TenureGroup_49-60m,TenureGroup_61-72m,HasFiberOptic,IsAutoPay,IsSenior,MultipleLines_Yes,Contract_Two year.1,PaymentMethod_E-Check,PaymentMethod_Mail Check,InternetService_No Internet,Predicted_CLV,CLVSegment,SentimentScore,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
CUST1,0,0,1,0,1,0,0,1,0,0,0,0,1,29.85,29.85,0,29.85,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,False,False,29.85,1,False,False,False,False,0,0,0,False,False,True,False,False,36.610474,Low,0.3612,False,False,True
CUST2,1,0,0,0,34,1,1,0,1,0,0,0,0,56.95,1889.5,0,1936.3,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,True,False,False,55.5735294117647,2,False,True,False,False,0,0,0,False,False,False,True,False,1939.5793,High,0.0516,False,False,True
CUST3,1,0,0,0,2,1,1,1,0,0,0,0,1,53.85,108.15,1,107.7,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,True,False,False,54.075,2,False,False,False,False,0,0,0,False,False,False,True,False,102.443665,Low,0.2263,False,False,True
CUST4,1,0,0,0,45,0,1,0,1,1,0,0,0,42.3,1840.75,0,1903.5,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,False,False,False,40.90555555555556,3,False,True,False,False,0,0,0,False,False,False,False,False,1849.0054,High,0.0,False,True,False
CUST5,0,0,0,0,2,1,0,0,0,0,0,0,1,70.7,151.65,1,141.4,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,75.825,0,False,False,False,False,1,0,0,False,False,True,False,False,138.32208,Low,0.9604,False,False,True
CUST6,0,0,0,0,8,1,0,0,1,0,1,1,1,99.65,820.5,1,797.2,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,102.5625,3,False,False,False,False,1,0,0,True,False,True,False,False,814.69714,Medium,-0.6125,True,False,False
CUST7,1,0,0,1,22,1,0,1,0,0,1,0,1,89.1,1949.4,0,1960.2,0.032969583911668,-0.5999999999999999,0.8,False,False,True,False,False,True,False,88.60909090909091,2,True,False,False,False,1,1,0,True,False,False,False,False,1949.7108,High,-0.5719,True,False,False
CUST8,0,0,0,0,10,0,1,0,0,0,0,0,0,29.75,301.9,0,297.5,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,True,False,False,30.19,1,False,False,False,False,0,0,0,False,False,False,True,False,296.29684,Low,-0.5423,True,False,False
CUST9,0,0,1,0,28,1,0,0,1,1,1,1,1,104.8,3046.05,1,2934.4,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,108.7875,4,False,True,False,False,1,0,0,True,False,True,False,False,2912.2354,High,0.0,False,True,False
CUST10,1,0,0,1,62,1,1,1,0,0,0,0,0,56.15,3487.95,0,3481.3,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,False,False,False,56.25725806451613,2,False,False,False,True,0,0,0,False,False,False,False,False,3501.9048,High,0.2263,False,False,True
